sci_name,category,class,order_name,family,genus,population_trend,marine,freshwater,terrestrial,total_occurrences
Biswamoyopterus biswasi,CR,MAMMALIA,RODENTIA,SCIURIDAE,Biswamoyopterus,,0,0,1,0
Canis rufus,CR,MAMMALIA,CARNIVORA,CANIDAE,Canis,,0,0,1,0
Crocidura jenkinsi,CR,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,,0,0,1,0
Crocidura harenna,CR,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,,0,0,1,0
Dendromus kahuziensis,CR,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,,0,0,1,0
Santamartamys rufodorsalis,CR,MAMMALIA,RODENTIA,ECHIMYIDAE,Santamartamys,,0,0,1,0
Meriones dahli,CR,MAMMALIA,RODENTIA,MURIDAE,Meriones,,0,0,1,0
Murina tenebrosa,CR,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Murina,,0,0,1,0
Pharotis imogene,CR,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pharotis,,0,0,1,0
Piliocolobus waldroni,CR,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Piliocolobus,,0,0,1,0
Mirimiri acrodonta,CR,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Mirimiri,,0,0,1,0
Pteralopex pulchra,CR,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteralopex,,0,0,1,0
Oedipomidas oedipus,CR,MAMMALIA,PRIMATES,CALLITRICHIDAE,Oedipomidas,,0,0,1,0
Sicista armenica,CR,MAMMALIA,RODENTIA,SMINTHIDAE,Sicista,,0,0,1,0
Zaglossus bruijnii,CR,MAMMALIA,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,,0,0,1,0
Heterogeomys lanius,CR,MAMMALIA,RODENTIA,GEOMYIDAE,Heterogeomys,,0,0,1,0
Phyllomys mantiqueirensis,CR,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,,0,0,1,0
Lepilemur jamesorum,CR,MAMMALIA,PRIMATES,LEPILEMURIDAE,Lepilemur,,0,0,1,0
Dendrolagus pulcherrimus,CR,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,,0,0,1,0
Lepilemur ahmansoni,CR,MAMMALIA,PRIMATES,LEPILEMURIDAE,Lepilemur,,0,0,1,0
Microcebus marohita,CR,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,,0,0,1,0
Spalax istricus,CR,MAMMALIA,RODENTIA,SPALACIDAE,Spalax,,0,0,1,0
Sicista loriger,CR,MAMMALIA,RODENTIA,SMINTHIDAE,Sicista,,0,0,1,0
Uromys vika,CR,MAMMALIA,RODENTIA,MURIDAE,Uromys,,0,0,1,0
Sicista severtzovi,CR,MAMMALIA,RODENTIA,SMINTHIDAE,Sicista,,0,0,1,0
Callosciurus honkhoaiensis,CR,MAMMALIA,RODENTIA,SCIURIDAE,Callosciurus,,0,0,1,0
